group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1997,,37.37689,-89.41808,Union,Mississippi River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1997,,37.39126,-89.4174,Union,Mississippi River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.4114,-88.573261,Pope,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.4114,-88.573261,Pope,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.4114,-88.573261,Pope,,,,,,,,,,,,,
Plants,Lythrum salicaria,Purple Loosestrife,2008,collected,37.4114,-88.573261,Pope,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.41455,-88.66528,Pope,Lake Glendale,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.41455,-88.66528,Pope,Lake Glendale,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2008,unknown,37.41556,-88.34556,Hardin,Ohio River,,,,,,,,,,,,
Fishes,Ameiurus catus,White Catfish,1979,collected,37.419527,-89.429741,Union,Mississippi River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.461737,-89.248116,Union,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.461737,-89.248116,Union,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.461737,-89.248116,Union,,,,,,,,,,,,,
Plants,Mentha aquatica,Water Mint,2008,collected,37.461737,-89.248116,Union,,,,,,,,,,,,,
Plants,Nasturtium officinale,Watercress,2008,collected,37.461737,-89.248116,Union,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.466033,-88.894637,Johnson,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,37.466033,-88.894637,Johnson,,,,,,,,,,,,,
Plants,Mentha aquatica,Water Mint,2008,collected,37.466033,-88.894637,Johnson,,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,37.469217,-88.165308,Hardin,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.470687,-88.281762,Hardin,,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,37.470687,-88.281762,Hardin,,,,,,,,,,,,,
Plants,Mentha aquatica,Water Mint,2008,collected,37.470687,-88.281762,Hardin,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.47269397,-89.29593296,Union,State Pond,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.4729,-89.29591,Union,State Pond,,,,,,,,,,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2008,,37.49011473,-88.91312599,Johnson,Dutchman Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.49021,-88.91303,Johnson,Dutchman Lake,,,,,,,,,,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2008,,37.490258,-88.912994,Johnson,,,,,,,,,,,,,
