group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,HUC,,,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1991,NA,Cook,Chicago Sanitary and Ship Canal,71200030107,4,20,http://www.fishbase.org/summary/Gasterosteus-aculeatus.html
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1993,NA,Cook,Chicago River,71200030107,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Branch Chicago River,71200030106,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1991,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1993,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1998,NA,Cook,North Shore Channel,71200030104,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,40400020501,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,40400020501,4,20,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,40400020501,4,20,
Plants,Myosotis scorpioides,True Forget-Me-Not,1926,NA,Cook,NA,71200040404,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,1958,NA,Cook,NA,71200040404,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,1960,NA,Cook,NA,71200040404,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,Cook,NA,71200040705,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,DuPage,NA,71200040803,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,2006,NA,Cook,NA,40400020502,,,
Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,Lake,NA,71200040302,,,
Fishes,Colossoma or Piaractus sp.,Unidentified Pacu,2004,failed,DuPage,Lake Becera,71200040802,,,
Fishes,Pterygoplichthys x Pterygoplichthys disjunctivus x pardalis,Vermiculated Sailfin Catfish X Amazon Sailfin Catfish,2004,NA,Cook,North Branch Chicago River,71200030106,4,20,
Plants,Mentha aquatica,Water Mint,2008,collected,Cook,NA,71200040705,,,
Plants,Mentha aquatica,Water Mint,2008,collected,DuPage,NA,71200040803,,,
Plants,Mentha aquatica,Water Mint,2008,collected,Lake,NA,71200040302,,,
Plants,Nasturtium officinale,Watercress,2008,collected,Cook,NA,71200040705,,,
Plants,Nasturtium officinale,Watercress,2008,collected,DuPage,NA,71200040803,,,
Plants,Nasturtium officinale,Watercress,1977,NA,Cook,NA,71200061205,,,
Plants,Nasturtium officinale,Watercress,2008,collected,Lake,NA,71200040302,,,
Plants,Puccinellia distans,Weeping Alkaligrass,1994,NA,Cook,NA,71200030405,,,
Plants,Puccinellia distans,Weeping Alkaligrass,1997,NA,Cook,NA,71200040702,,,
Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,Cook,NA,71200040705,,,
Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,DuPage,NA,71200040803,,,
Plants,Puccinellia distans,Weeping Alkaligrass,2007,NA,Lake,NA,71200040503,,,
Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,Lake,NA,71200040302,,,
Plants,Puccinellia distans,Weeping Alkaligrass,2005,NA,Lake,NA,71200040301,,,
Fishes,Morone americana,White Perch,2011,NA,Cook,Butterfield Creek,71200030202,2,32.5,https://www.nwrc.usgs.gov/wdb/pub/species_profiles/82_11-007.pdf
Fishes,Morone americana,White Perch,2001,NA,Cook,North Creek,71200030203,2,32.5,
Fishes,Morone americana,White Perch,2001,NA,Cook,Little Calumet River,71200030405,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1998,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,2011,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1995,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Calumet Sag Channel,71200030403,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,71200030403,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1998,NA,Cook,Calumet River,40400010603,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,71200030403,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,71200030403,2,32.5,
Fishes,Morone americana,White Perch,1998,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Little Calumet River,71200030407,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Chicago Sanitary and Ship Canal,71200040705,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Lake Calumet,40400010603,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Lake Calumet,40400010603,2,32.5,
Fishes,Morone americana,White Perch,2001,NA,Cook,Lake Calumet,40400010603,2,32.5,
Fishes,Morone americana,White Perch,1999,NA,Cook,Calumet Sag Channel,71200040702,2,32.5,
Fishes,Morone americana,White Perch,1998,NA,Cook,Chicago Sanitary and Ship Canal,71200040702,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Chicago Sanitary and Ship Canal,71200040702,2,32.5,
Fishes,Morone americana,White Perch,2000,NA,Cook,Chicago Sanitary and Ship Canal,71200030107,2,32.5,
Fishes,Morone americana,White Perch,1993,NA,Cook,South Branch Chicago River,71200030107,2,32.5,
Fishes,Morone americana,White Perch,2006,NA,Cook,Chicago River,71200030107,2,32.5,
Fishes,Morone americana,White Perch,1991,NA,Cook,Chicago River,71200030107,2,32.5,
