number,HUC12_1,group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude
54.4,71200040503,Plants,Puccinellia distans,Weeping Alkaligrass,2007,NA,Lake,NA,-87.91116,42.16777
50,71200030102,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Lake,Middle Fork North Branch Chicago River,-87.8376,42.17869
51.1,71200061104,Plants,Eichhornia crassipes,Common Water Hyacinth,2003,failed,Lake,Flint Lake,-88.16915,42.20319
14,71200061105,Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,Fox River,-88.176441,42.223433
14.1,71200061105,Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Fox River,-88.186821,42.238606
55.1,71200030101,Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,NA,-87.85672632,42.26157532
55.2,71200030101,Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,NA,-87.85672632,42.26157532
55.3,71200030101,Plants,Phalaris arundinacea,Reed Canarygrass,1977,NA,Lake,NA,-87.85672632,42.26157532
4,71200061103,Fishes,Piaractus brachypomus,"Pirapatinga, Red-Bellied Pacu",2005,failed,Lake,Bangs Lake,-88.13281455,42.26572476
4.1,71200061103,Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Bangs Lake,-88.129332,42.271537
6,71200040302,Plants,Egeria densa,Brazilian Waterweed,2008,NA,Lake,NA,-87.9845,42.2971
50.1,71200030102,Plants,Lythrum salicaria,Purple Loosestrife,1981,NA,Lake,NA,-87.89522183,42.30533492
1,40400020501,Fishes,Salmo trutta,Brown Trout,1999,NA,Lake,trib. Lake Michigan,-87.83592,42.30929
1.1,40400020501,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1999,NA,Lake,trib. Lake Michigan,-87.83592,42.30929
6.1,71200040302,Plants,Mentha x gracilis,Gingermint,2008,collected,Lake,NA,-87.983801,42.313322
6.2,71200040302,Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,Lake,NA,-87.983801,42.313322
6.3,71200040302,Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,Lake,NA,-87.983801,42.313322
6.4,71200040302,Plants,Lythrum salicaria,Purple Loosestrife,2008,collected,Lake,NA,-87.983801,42.313322
6.5,71200040302,Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,Lake,NA,-87.983801,42.313322
6.6,71200040302,Plants,Mentha aquatica,Water Mint,2008,collected,Lake,NA,-87.983801,42.313322
