number,HUC12_1,group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude
27.17,40400020503,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,NA,Cook,Hyde Park Pond,-87.58251,41.80276
46,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,2007,NA,DuPage,NA,-88.0376,41.8106
46.1,71200040803,Plants,Phalaris arundinacea,Reed Canarygrass,2007,NA,DuPage,NA,-88.0375,41.8109
47,71200040804,Plants,Typha angustifolia,Narrowleaf Cattail,2000,NA,DuPage,Etter Marsh,-88.0524,41.8113
46.2,71200040803,Plants,Phalaris arundinacea,Reed Canarygrass,2000,NA,DuPage,NA,-88.0378,41.8136
47.1,71200040804,Plants,Lythrum salicaria,Purple Loosestrife,2000,NA,DuPage,Crowley Pond,-88.0608,41.8144
46.3,71200040803,Plants,Iris pseudacorus,Paleyellow Iris,2000,NA,DuPage,NA,-88.0789,41.8158
46.4,71200040803,Plants,Iris pseudacorus,Paleyellow Iris,2000,NA,DuPage,NA,-88.0791,41.816
47.2,71200040804,Plants,Lythrum salicaria,Purple Loosestrife,2006,NA,DuPage,Crowley Pond,-88.0592,41.816
24.1,71200030107,Fishes,Morone americana,White Perch,2000,NA,Cook,Chicago Sanitary and Ship Canal,-87.74334699,41.81963174
60.1,71200040706,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,-87.82143,41.82121
24.2,71200030107,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2003,unknown,Cook,Mckinley Park Lake,-87.678409,41.824581
24.3,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.4,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.5,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.6,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.7,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.8,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.9,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2005,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.1,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2005,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.11,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2005,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
24.12,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2005,locally established,Cook,Chicago Sanitary and Ship Canal,-87.7243,41.8258
46.5,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,1997,NA,DuPage,Hidden Lake,-88.0558,41.8265
58.1,71200040404,Plants,Butomus umbellatus,Flowering Rush,1957,NA,Cook,NA,-87.85,41.8333
58.2,71200040404,Plants,Mentha x gracilis,Gingermint,1941,NA,Cook,NA,-87.85,41.8333
58.3,71200040404,Plants,Typha angustifolia,Narrowleaf Cattail,1950,NA,Cook,NA,-87.85,41.8333
46.6,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,1993,NA,DuPage,NA,-88.0833,41.8333
46.7,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,1997,NA,DuPage,NA,-88.0833,41.8333
58.4,71200040404,Plants,Lythrum salicaria,Purple Loosestrife,1926,NA,Cook,NA,-87.85,41.8333
58.5,71200040404,Plants,Lythrum salicaria,Purple Loosestrife,1990,NA,Cook,NA,-87.85,41.8333
46.8,71200040803,Plants,Lythrum salicaria,Purple Loosestrife,1990,NA,DuPage,NA,-88.0833,41.8333
46.9,71200040803,Plants,Lythrum salicaria,Purple Loosestrife,1993,NA,DuPage,NA,-88.0833,41.8333
46.1,71200040803,Plants,Lythrum salicaria,Purple Loosestrife,1998,NA,DuPage,NA,-88.0833,41.8333
58.6,71200040404,Plants,Myosotis scorpioides,True Forget-Me-Not,1926,NA,Cook,NA,-87.85,41.8333
58.7,71200040404,Plants,Myosotis scorpioides,True Forget-Me-Not,1958,NA,Cook,NA,-87.85,41.8333
58.8,71200040404,Plants,Myosotis scorpioides,True Forget-Me-Not,1960,NA,Cook,NA,-87.85,41.8333
24.13,71200030107,Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2008,failed,Cook,Bubbly Creek,-87.6598,41.8339
24.14,71200030107,Fishes,Oreochromis niloticus,Nile Tilapia,2004,collected,Cook,Bubbly Creek,-87.6598,41.8339
24.15,71200030107,Plants,Lythrum salicaria,Purple Loosestrife,2011,Collected,Cook,Chicago Sanitary and Ship Canal,-87.686435,41.836962
57.2,71200040705,Plants,Najas minor,Brittle Waternymph,2010,collected,Cook,NA,-87.767817,41.837649
57.3,71200040705,Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,Cook,NA,-87.767817,41.837649
57.4,71200040705,Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,Cook,NA,-87.767817,41.837649
57.5,71200040705,Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,Cook,NA,-87.767817,41.837649
57.6,71200040705,Fishes,Scardinius erythrophthalmus,Rudd,1990,collected,Cook,Coon Creek,-87.767817,41.837649
57.7,71200040705,Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,Cook,NA,-87.767817,41.837649
57.8,71200040705,Plants,Mentha aquatica,Water Mint,2008,collected,Cook,NA,-87.767817,41.837649
57.9,71200040705,Plants,Nasturtium officinale,Watercress,2008,collected,Cook,NA,-87.767817,41.837649
57.1,71200040705,Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,Cook,NA,-87.767817,41.837649
24.16,71200030107,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,1994,NA,Cook,Chicago Sanitary and Ship Canal,-87.676392,41.841112
24.17,71200030107,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1991,NA,Cook,Chicago Sanitary and Ship Canal,-87.67542,41.84171
24.18,71200030107,Fishes,Carassius carassius,Crucian Carp,1910,failed,Cook,NA,-87.654419,41.853196
24.19,71200030107,Fishes,Morone americana,White Perch,1993,NA,Cook,South Branch Chicago River,-87.63672156,41.85567374
46.11,71200040803,Plants,Najas minor,Brittle Waternymph,2010,collected,DuPage,NA,-88.063587,41.856029
46.12,71200040803,Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,DuPage,NA,-88.063587,41.856029
46.13,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,DuPage,NA,-88.063587,41.856029
46.14,71200040803,Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,DuPage,NA,-88.063587,41.856029
46.15,71200040803,Plants,Lythrum salicaria,Purple Loosestrife,2008,collected,DuPage,NA,-88.063587,41.856029
46.16,71200040803,Plants,Myosotis scorpioides,True Forget-Me-Not,2008,collected,DuPage,NA,-88.063587,41.856029
46.17,71200040803,Plants,Mentha aquatica,Water Mint,2008,collected,DuPage,NA,-88.063587,41.856029
46.18,71200040803,Plants,Nasturtium officinale,Watercress,2008,collected,DuPage,NA,-88.063587,41.856029
46.19,71200040803,Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,DuPage,NA,-88.063587,41.856029
24.2,71200030107,Fishes,Salmo trutta,Brown Trout,1991,NA,Cook,Chicago River,-87.6368003,41.87571347
24.21,71200030107,Fishes,Oncorhynchus kisutch,Coho Salmon,1990,NA,Cook,Chicago River,-87.6368003,41.87571347
24.22,71200030107,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1993,NA,Cook,Chicago River,-87.6368003,41.87571347
57.11,71200040705,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,extirpated,Cook,Columbus Park Lagoon,-87.766557,41.875888
57.12,71200040705,Fishes,Ctenopharyngodon idella,Grass Carp,2011,failed,Cook,Columbus Park Lagoon,-87.766557,41.875888
24.23,71200030107,Fishes,Morone americana,White Perch,2006,NA,Cook,Chicago River,-87.63,41.88
24.24,71200030107,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,extirpated,Cook,Garfield Park Lagoon,-87.717612,41.88287
24.25,71200030107,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2012,unknown,Cook,Garfield Park Lagoon,-87.71827,41.88322
46.2,71200040803,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.03656,41.88351
46.21,71200040803,Fishes,Petromyzon marinus,Sea Lamprey,1957,NA,DuPage,DuPage River,-88.03343313,41.88463241
46.22,71200040803,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.0387,41.8854
46.23,71200040803,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,-88.0387,41.8854
24.26,71200030107,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1990,NA,Cook,Chicago River,-87.63755,41.88624
24.27,71200030107,Fishes,Oncorhynchus kisutch,Coho Salmon,1990,NA,Cook,Chicago River,-87.63755,41.88624
24.28,71200030107,Fishes,Osmerus mordax,Rainbow Smelt,1987,NA,Cook,Chicago River,-87.63755,41.88624
24.29,71200030107,Fishes,Morone americana,White Perch,1991,NA,Cook,Chicago River,-87.63755,41.88624
53,40400020502,Fishes,Osmerus mordax,Rainbow Smelt,1987,NA,Cook,Chicago River,-87.61836915,41.8901648
26,71200030106,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1996,NA,Cook,North Branch Chicago River,-87.64112,41.89134
66,71200040506,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,-87.82981,41.8926
48,71200040802,Fishes,Colossoma or Piaractus sp.,Unidentified Pacu,2004,failed,DuPage,Lake Becera,-88.093196,41.893141
53.1,40400020502,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2008,eradicated,Cook,Lincoln Park South Lagoon,-87.63236,41.91697
67,71200040402,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,DuPage,NA,-88.01164,41.91744
26.1,71200030106,Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2010,failed,Cook,Chicago River,-87.692,41.9396
53.2,40400020502,Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,-87.635579,41.944362
53.3,40400020502,Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,-87.641909,41.949501
53.4,40400020502,Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,-87.641909,41.949501
66.1,71200040506,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2006,NA,Cook,Des Plaines River,-87.8544,41.9542
66.2,71200040506,Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Schiller Park Pond,-87.83984,41.95746
26.2,71200030106,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,1992,NA,Cook,North Branch Chicago River,-87.70134721,41.96868753
26.3,71200030106,Fishes,Pterygoplichthys x Pterygoplichthys disjunctivus x pardalis,Vermiculated Sailfin Catfish X Amazon Sailfin Catfish,2004,NA,Cook,North Branch Chicago River,-87.7043,41.9733
67.1,71200040402,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,Salt Creek,-87.99075,41.98364
21,71200030104,Fishes,Misgurnus anguillicaudatus,Oriental Weatherfish,1991,NA,Cook,North Shore Channel,-87.70959,41.99184
21.1,71200030104,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1992,NA,Cook,North Shore Channel,-87.70959,41.99184
